source,level 1,level 2,level 3
"«Регистрация нового товарного знака необходима для запуска пилота, который подразумевает переформатирование некоторых существующих гипермаркетов», – пояснили в «Ленте».",«Новая торговая марка нужна для запуска эксперимента с магазинами».,«Нам нужна регистрация новой торговой марки,«Новый товарный знак нужен для старта пилотной программы
"Гендиректор «Ленты» Владимир Сорокин, подводя итоги прошедшего года, заявлял, что покупатели в 2022 году переходили на более дешевые товары.","Гендиректор ""Ленты"" Владимир Сорокин говорил, что в 2022 году люди часто выбирали более дешевые вещи.","Директор компании ""Лента"" Владимир Сорокин сказал, что в 2022 году покупатели искали дешевые продукты.","Директор магазина ""Лента"" говорил, что люди buys cheaper things."
"«Мы расширили линейку товаров в более низких ценовых сегментах, активно работали с промо и персональными предложениями», – отметил Сорокин.",«Мы добавили новые товары по доступным ценам,«Мы увеличили количество товаров по более низким ценам,"""Мы продаем cheaper things."" – сказал Сорокин."
"В отчетности компании за четвертый квартал 2022 года говорится, что «покупатели «Ленты» склонны к приобретению товаров более низкого ценового сегмента, а также к сокращению расходов на крепкий алкоголь и непродовольственные товары».","В отчетности компании за 4-й квартал 2022 года говорится, что покупатели «Ленты» любят покупать товары дешёвых ценовых сегментов",В отчете компании за 2022 год написано: покупатели «Ленты» часто выбирают дорогих товарів.,"В отчетности компании за 2022 год говорится, что покупатели Ленты часто покупают дешевые товары."
ГИБДД в различных регионах России предупредила о проведении в ближайшие выходные масштабных рейдов по выявлению нетрезвых водителей и соблюдению ПДД пешеходами.,Полиция дорожной безопасности в разных частях страны предупреждает о проведении в ближайщие выходные больших проверок для обнаружения пьяных водителей и соблюдения правил дорожного движения пешеходами.,В России будут проводиться проверки на дорогах,"Полиция на дорогах напомнила, что будет проверять автомобилистов за управлением под воздействием алкоголя."
"В частности, такое мероприятие пройдет в Московской области, сообщается в Telegram-канале областной ГИБДД.","Мероприятия будет проводиться в Московской области, информация об этом размещена на Telegram-канале ГИБДД.",Мероприятие пройдет в Московской области.,Мероприятие будет в Подмосковье.
«Массовые проверки и рейды будут организованы для предупреждения случаев управления транспортом водителями в состоянии опьянения.,"«Для предотвращения водителей, управляющих транспортами под действием алкоголя, будут проводиться регулярные проверки и облавки».",«Будут организированы мероприятия по проверке водителей на предмет управления транспортным средством при алкогольном опьянении.,Проверки за рулем под воздействием алкоголя.
"Кроме того, инспекторы ДПС усилят контроль за водителями, которые нарушают правила проезда пешеходных переходов», – отмечается в сообщении ведомства.","Инспектора ДПС будут еще больше контролировать водителей, которые не соблюдают правила при проезде пешеходных переходов.","Инспекторы ДПС будут еще внимательнее наблюдать за водителями, которые не следуют правилам при использовании пешеходных переходов.",ДПС усилит контроль за нарушителями.
"Пресс-служба Роспотребнадзора сообщила, что в стране активизировалась пандемия COVID-19.","Служба новостей Роспотребнадзора сказала, что в нашей стране пандемия коронавируса COVID-19 начала распространяться быстрее.","Служба новостей Роспотребнадзора сообщает, что в стране снова участились случаи заболевания коронавирусом.",Пандемия активизируется.
"За неделю, по данным ведомства, показатель заболеваемости вырос почти на 33%.",За одну неделю заболеваемость увеличивалась almost на треть.,За неделю заболеваемость увеличилась примерно на треть.,За неделю заболеваемость подросла на 33%.
«На пятой неделе 2023 года в России зарегистрировано более 60 тыс. новых случаев.,"В начале пятидневной недели 2023 года, в России было обнаружено более 60 тысяч новых заражений.",В России за пять недель 2023 года зарегистрировано более шестидесяти тысяч новых случаев.,В России много заболевших.
"За последние сутки, по официальным данным, в России выявили 7615 случаев заражения коронавирусом, 43 человека умерли.",За последние сутки в России обнаружили 7615 новых случаев коронавируса,"В России за день выявлено 7,615 случаев коронавируса",За день выявлено 7615 случаев коронавируса
"Всего за пандемию было выявлено около 22 млн случаев COVID-19, скончались 395 тыс. человек.",За пандемией было обнаружено примерно 22 миллиона случаев COVID-19,За пандемию обнаружилось примерно 22 миллиона случаев COVID-19,За пандемию обнаружено 22 миллиона случаев COVID-19
Тем временем заболеваемость гриппом и ОРВИ в России за последнюю неделю выросла по сравнению с предыдущей на 11%.,За последнюю неделю заболеваемость гриппом и ОРВИ в России увеличилась на 11% по сравнению с прошлой неделей.,За неделю заболеваемость гриппом и ОРВИ в России увеличилась на 11%.,Заболеваемсть выросла.
Общее количество заболевших превысило 1 млн человек.,Более миллиона человек заразились.,"Количество людей, которые заразились, составило более миллиона.",Больных стало более миллиона.
"В центральной части Турции зафиксировали новое землетрясение магнитудой 7,7.","В Турции случилось сильное землетрясение с магнитудой 7,7.","В Турции произошло сильное землетрясение магнитудой 7,7.",В Турции произошло сильное землетрясение.
Об этом сообщили в европейско-средиземноморском сейсмологическом центре.,"В европейско-средиземноморском сейсмологическом центре заявили о том, что произошло.",Об этой информации сообщил европейско-средиземноморский сейсмологический центр.,О消息е - из европейско-средиземноморского центра за сейсмическими данными.
"Подземные толчки ощущались в Анкаре, Диярбакыре, Адане, Кахраманмараше, Шанлыурфе, Малатье, передает ТАСС.","В Турции после взрыва в Стамбуле подземные толчки ощущались в городах Анкара, Диярбакыр и некоторых других.",В городах Турции после взрыва произошли подземные толчки.,В Анкаре и других городах Turkey было сильное землетрясение.
Новое землетрясение произошло и в Сирии.,Новое землетрясение также было в Сирии.,Еще одно землетрясение случилось в Сирии.,Землетрясение было в Сирии.
"По данным агентства SANA, подземные толчки ощущаются в Дамаске, Латакии и других районах страны.","Подземные толчки ощущаются в Дамаске, Латакии и других местах.","По данным SANA, подземные толчки есть в Дамаске, Латакии.",В Дамаске есть землетрясения.
"Президент Турции Реджеп Тайип Эрдоган ранее сообщил, что количество погибших в результате землетрясения в Турции достигло 912 человек, более 5,3 тыс. пострадали.","Президент Турции Реджеп Тайип Эрдоган сообщил, что после землетрясения в Турции погибли 912 человек и более 5300 пострадали.","Президент Турции Реджеп Тайип Эрдоган сказал, что от землетрясения погибли 912 человек","Президент Турции объявил: 912 человек умерли, 5300 пострадали."
Данное землетрясение стало крупнейшим стихийным бедствием с 1939 года.,Эта земля тряскалась самым сильным разливом с 1939 года.,Этот разрушительный землетрясень было самой сильной стихией за 82 года.,Было большое землетрясение.
В Сирии в результате природного катаклизма погибли 326 человек.,В Сирии из-за сильной стихийной бедствия умерли 326 человек.,В Сирии от стихийного бедствия умерло 326 человек.,В Сирии случилось бедствие: умерло 326 человек.
"Помимо многочисленных жертв, в Турции обрушилась историческая крепость в провинции Газиантеп, внесенная в список всемирного наследия ЮНЕСКО.",В Турции случилось несчастное событие,В Турции упала старая крепость,"Кроме жертв, рухнул замок в Турции."
"Цитадель в сирийском городе Алеппо получила повреждения, сообщает «Бизнес Online».","В Сирии, в Алеппо, была поврежденная цитадель.",В Сирии цитадель в Алеппо пострадал.,Алеппо получила ущерб.
"В Министерстве объединения Республики Корея после консультаций разработают новый средне- и долгосрочный планы воссоединения с КНДР, передает ТАСС.",В Министерстве объединения Южной Кореи после консультаций создадут новый средне- и долгосрочный план для воссоединения с Северной Кореей.,Министерство Южной Кореи разрабатывает новый план для воссоединения с Северной Кореей.,Министерство составит план
О намерении разработать план в министерстве сообщили в докладе с целями на 2023 год.,"В министерстве сообщили о том, что они хотят создать план",В министерстве будет разработан план для 2023 года.,В министерстве будет готовить план.
Документ получит название «Новая инициатива будущего по объединению».,"Документ назовут ""Новая инициатива будущего""","Документ будет называться ""Новая инициатива"".",Документ - новая инициатива для будущего.
Разработке плана будет предшествовать общественная дискуссия.,Сначала будет проводиться обсуждение с участием общества,До разработки плана пройдет обсуждение с общественностью.,"Будет обсуждение, затем план."
"Основой инициативы будут универсальные ценности: свобода, права человека, открытость и коммуникация.","Базовые принципы этой инициативы: свобода, права человека, общая доступность информации и понимание между людьми.","Основой инициативы являются важные ценности: свобода, человеческие права.","Основой - свобода, права человека."
"Подчеркивается, что объединение будет носить мирный, демократический характер.",Объединение будет иметь мирный и демократический характер.,Союз будет мирным и демократическим.,Будет мирное объединение.
Налаживание отношений между Сеулом и Пхеньяном предлагается реализовывать через прямые и косвенные контакты в рамках международных и общественных организаций.,Установление связей между Сеулом и Пхеньяном можно было бы реализовать посредством прямых и опосредованных контактов с учетом участия международных и общественных организаций.,Нам нужно улучшать отношения между Южной Кореей и Северной Кореей,Установление мира между Южной Кореей и Северной Кореей должно происходить с помощью прямых и косвенных связей.
